zip_code,count_total_population_acs19,count_white_alone_race_acs19,count_black_alone_race_acs19,count_native_alone_race_acs19,count_asian_alone_race_acs19,count_pacific_islander_alone_race_acs19,count_other_alone_race_acs19,count_two_more_race_acs19,count_total_renter_occup_acs19,count_rent_1524_age_acs19,count_rent_2534_age_acs19,count_rent_3544_age_acs19,count_rent_4554_age_acs19,count_rent_5559_age_acs19,count_rent_6064_age_acs19,count_rent_6574_age_acs19,count_rent_7584_age_acs19,count_rent_85plus_age_acs19,count_rent_less_hs_ed_acs19,count_rent_hs_ed_acs19,count_rent_college_ed_acs19,count_rent_adv_ed_acs19,count_rent_income_less5k_acs19,count_rent_income_5k9k_acs19,count_rent_income_10k14k_acs19,count_rent_income_15k19k_acs19,count_rent_income_20k24k_acs19,count_rent_income_25k34k_acs19,count_rent_income_35k49k_acs19,count_rent_income_50k74k_acs19,count_rent_income_75k99k_acs19,count_rent_income_100k149k_acs19,count_rent_income_150kplus_acs19,median_rent_income_acs19,gini_index_income_ineq_acs19,median_own_house_value_acs19,count_rent_cost_less_300_acs19,count_rent_cost_300_499_acs19,count_rent_cost_500_799_acs19,count_rent_cost_800_899_acs19,count_rent_cost_1000_1499_acs19,count_rent_cost_1500_1999_acs19,count_rent_cost_2000_2499_acs19,count_rent_cost_2500_2999_acs19,count_rent_cost_3000_plus_acs19,count_rent_cost_none_acs19,count_rent_income_less20k_rent_less20_percent_acs19,count_rent_as_percent_income_less20k_20_29_percent_acs19,count_rent_as_percent_income_less20k_30plus_percent_acs19,count_rent_as_percent_income_20k34k_less20_percent_acs19,count_rent_as_percent_income_20k34k_20_29_percent_acs19,count_rent_as_percent_income_20k34k_30plus_percent_acs19,count_rent_as_percent_income_35k49k_less20_percent_acs19,count_rent_as_percent_income_35k49k_20_29_percent_acs19,count_rent_as_percent_income_35k49k_30plus_percent_acs19,count_rent_as_percent_income_50k74k_less20_percent_acs19,count_rent_as_percent_income_50k74k_20_29_percent_acs19,count_rent_as_percent_income_50k74k_30plus_percent_acs19,count_rent_as_percent_income_75kplus_less20_percent_acs19,count_rent_as_percent_income_75kplus_20_29_percent_acs19,count_rent_as_percent_income_75kplus_30plus_percent_acs19
78701,7051,5708,265,13,666,15,111,273,2733,310,1671,300,189,74,57,96,17,19,41,84,387,2221,107,59,103,88,49,160,291,387,346,425,718,80907,0.5194,440100,66,9,151,107,507,953,366,203,279,92,0,9,276,0,20,189,44,67,166,30,144,213,808,530,119
78702,21477,15111,2926,99,476,0,2165,700,4464,314,1678,937,573,230,236,248,161,87,1113,874,1105,1372,382,693,295,349,412,348,524,729,306,260,166,26898,0.4969,235400,721,407,758,502,1128,512,216,36,6,178,97,322,1135,44,64,631,72,172,272,186,373,128,375,275,30
78703,20530,18006,307,144,1335,0,220,518,4808,261,2337,1242,429,132,191,114,88,14,91,142,766,3809,254,148,164,233,249,440,713,1009,427,477,694,55000,0.5405,704700,25,43,941,490,1249,990,502,280,166,122,0,0,621,16,146,513,73,305,335,186,411,391,956,476,122
78704,44668,40277,1305,226,1170,0,506,1184,14404,1625,6852,2776,1446,582,581,356,129,57,726,1470,4072,8136,924,528,795,611,934,1814,2423,2997,1782,1113,483,43951,0.4798,385700,433,426,1907,3139,5468,1966,507,153,108,297,0,151,2317,60,282,2363,121,841,1419,806,1577,575,2381,784,167
78705,32346,24055,1667,132,4607,3,880,1002,7733,4882,2032,443,183,42,86,47,18,0,25,547,4212,2949,2215,1331,1097,495,546,492,653,498,272,100,34,11119,0.6909,385600,72,39,1133,1973,2191,1129,785,111,188,112,7,65,4016,0,31,993,21,335,269,195,153,150,203,167,7
78712,828,590,93,9,46,0,54,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78717,26072,18540,900,13,5320,0,311,988,3418,260,1304,730,510,131,236,136,63,48,30,480,1341,1567,18,0,44,104,172,323,733,893,555,501,75,54044,0.371,273200,0,0,101,1212,1543,343,207,0,12,0,0,0,166,0,25,470,0,406,327,109,588,196,910,170,51
78719,1485,1221,0,0,3,0,226,35,60,10,11,6,0,17,8,8,0,0,33,0,27,0,0,18,8,11,3,0,9,5,0,6,0,NA,0.3564,113300,10,11,0,21,7,0,0,0,0,11,0,0,37,0,3,0,0,9,0,0,0,0,0,0,0
78721,12508,6671,3843,242,147,25,1214,366,2027,180,585,417,231,185,168,137,85,39,656,562,540,269,236,257,311,168,37,255,340,256,118,40,9,25124,0.4901,156800,82,226,456,478,526,181,0,0,0,78,6,49,721,41,40,194,48,179,103,53,150,53,105,62,0
78722,7006,5191,855,0,315,35,264,346,1702,196,902,226,115,95,79,64,25,0,48,172,514,968,54,33,65,124,96,139,388,341,204,193,65,45608,0.4496,293000,16,8,210,502,593,197,111,18,0,47,8,8,256,0,40,186,5,197,159,108,183,43,323,131,8
78723,32155,21832,6674,116,627,0,2214,692,6969,754,2229,1560,937,524,416,307,210,32,1909,1581,1789,1690,508,601,689,628,643,1084,980,1051,478,203,104,28131,0.483,207600,264,232,2325,1772,1408,676,148,31,11,102,87,66,2033,0,470,1242,107,433,421,332,515,191,517,222,32
78724,23612,15222,5911,99,60,0,1582,738,2590,237,1006,797,276,123,116,18,17,0,1004,668,879,39,165,311,147,208,379,427,649,163,59,72,10,26864,0.4069,109100,30,16,550,874,934,123,0,0,0,63,0,0,689,30,78,698,125,295,221,38,99,26,129,12,0
78725,7343,4226,2448,0,39,0,221,409,490,0,171,172,115,3,14,15,0,0,70,218,132,70,0,28,15,0,0,189,53,109,54,32,10,38289,0.2998,121100,0,0,15,128,305,21,21,0,0,0,0,0,43,0,0,189,0,14,39,0,77,32,90,6,0
78726,13027,9508,648,0,2332,0,292,247,3023,438,1052,794,547,27,54,58,53,0,61,512,1022,1428,262,0,110,62,83,361,657,855,262,139,232,46930,0.4483,358100,0,0,181,1063,1613,56,110,0,0,0,0,0,346,0,59,385,0,323,334,257,540,58,548,85,0
78727,29354,20138,1720,158,5192,0,863,1283,6681,587,2626,1514,1082,241,227,254,50,100,384,769,2235,3293,164,110,107,203,387,756,1135,1531,1151,891,246,54919,0.367,215500,25,21,289,1714,3477,903,178,31,35,8,0,0,482,25,0,1118,28,498,609,317,889,317,1895,393,0
78728,21081,13686,3923,241,1807,0,639,785,6622,650,2081,1576,1021,323,262,507,76,126,163,1555,2593,2311,382,85,265,321,453,825,1612,1348,685,489,157,42431,0.4029,182300,0,8,994,2323,2577,438,0,83,15,184,0,0,879,0,148,1108,50,934,620,501,649,87,1153,178,0
78729,29386,22609,2576,67,2564,0,352,1218,7246,586,2445,1857,1359,302,414,153,39,91,268,1272,2836,2870,134,284,213,290,415,808,1738,1492,1101,471,300,46151,0.3958,205600,16,0,970,2174,3158,638,219,14,0,57,0,16,872,0,57,1166,34,835,826,404,960,128,1422,429,7
78730,8871,7953,0,0,468,0,159,291,1337,141,611,170,176,96,17,107,19,0,0,90,539,708,18,39,78,52,0,166,82,526,107,164,105,59429,0.5224,576100,0,0,19,245,918,38,17,20,13,67,0,0,187,0,0,166,0,19,63,17,419,33,255,98,13
78731,26595,22642,649,114,2099,26,357,708,5168,664,2126,1068,499,182,221,118,149,141,24,427,1139,3578,455,170,157,231,405,570,745,1022,680,487,246,47612,0.5173,476400,0,22,702,1084,2054,857,230,109,31,79,0,0,779,0,78,871,17,396,326,197,536,268,995,275,126
78732,16269,13792,299,24,1672,0,29,453,1053,33,175,361,215,94,28,43,78,26,0,43,464,546,0,23,0,113,0,23,230,219,77,262,106,66423,0.4321,467300,0,0,0,81,512,142,220,30,41,27,0,0,136,0,0,23,0,26,204,0,151,41,309,128,8
78733,8930,7354,16,6,1205,0,79,270,327,8,53,165,51,20,10,10,10,0,0,37,79,211,8,0,10,0,24,60,20,34,34,51,86,79205,0.4989,497900,0,0,8,42,85,67,85,0,24,16,0,0,18,0,0,74,0,6,14,10,9,9,139,27,5
78734,18948,17676,157,53,705,0,38,319,1633,87,247,326,381,236,140,25,140,51,49,313,730,541,127,52,99,64,113,118,237,307,224,106,186,50602,0.482,340800,0,77,65,106,483,454,225,74,95,54,0,0,259,0,44,176,34,17,186,18,95,177,228,243,34
78735,17438,15706,243,27,1066,15,101,280,3392,267,1186,480,452,133,94,190,165,425,141,393,846,2012,167,113,132,137,261,306,393,813,420,368,282,52474,0.5092,410400,24,39,116,539,1896,509,79,50,68,72,0,21,491,3,44,520,0,110,271,167,498,123,696,261,88
78736,7621,6957,38,38,218,17,124,229,429,34,76,177,78,17,15,0,32,0,0,60,148,221,18,0,19,9,20,43,49,142,17,100,12,61835,0.4149,266100,0,19,0,75,151,170,0,14,0,0,0,0,46,0,0,63,0,15,34,16,79,47,59,70,0
78737,14544,12928,127,4,659,0,488,338,403,0,49,143,72,36,26,76,1,0,57,99,76,171,38,0,53,0,1,10,40,49,52,121,39,81750,0.3707,350900,4,0,35,48,93,35,103,40,13,32,0,0,51,0,0,0,0,26,12,9,40,0,91,105,15
78738,14795,13053,132,15,1091,0,85,419,1130,39,177,353,210,180,42,8,108,13,15,149,288,678,0,0,25,91,77,77,91,233,107,177,252,66682,0.43,469200,0,0,16,113,442,164,46,180,51,118,0,0,59,0,0,115,0,19,68,0,158,75,336,121,61
78739,18442,15335,214,119,1608,0,205,961,283,0,80,96,101,0,0,0,0,6,0,0,33,250,0,0,46,0,0,18,33,61,19,67,39,74141,0.378,381400,0,0,0,0,0,86,79,96,0,22,0,0,38,0,0,18,0,0,33,0,0,61,39,39,33
78741,51770,36724,5658,406,1880,16,5493,1593,17355,4576,6321,2981,1768,797,486,354,72,0,3230,3152,6553,4420,1409,1244,1597,1630,1669,2591,3242,1970,922,759,322,29775,0.4952,139000,196,737,5231,4807,4523,1235,208,0,85,333,41,41,5044,113,713,3384,466,1316,1415,814,963,193,1600,325,50
78742,748,586,73,0,0,0,78,11,106,6,61,4,14,3,0,0,18,0,35,27,21,23,0,18,9,0,23,11,19,4,13,9,0,29000,0.4438,76400,5,18,24,14,45,0,0,0,0,0,0,0,27,6,0,28,19,0,0,0,4,0,22,0,0
78744,46408,32710,3330,614,272,17,8034,1431,7113,643,2741,1651,1318,348,93,278,38,3,1933,1686,2269,1225,358,335,532,502,499,1006,1336,1477,668,286,114,37591,0.418,106000,62,109,855,2305,3144,383,40,0,0,215,10,19,1456,40,211,1200,138,661,532,464,938,75,717,327,3
78745,59758,51616,2955,219,1404,40,1730,1794,13518,1187,5210,2708,1956,678,671,711,220,177,1701,2266,4336,5215,555,635,805,559,686,1521,2859,2961,1696,809,432,44525,0.3851,183900,177,382,2252,2561,6063,1574,170,57,29,253,10,83,2204,39,291,1852,244,1080,1470,832,1697,398,2127,651,81
78746,27928,24245,234,5,2197,196,206,845,3286,187,1207,840,578,77,101,99,68,129,12,148,686,2440,54,31,119,108,175,177,489,588,635,517,393,67121,0.5154,713400,0,10,127,335,1332,843,358,78,121,82,0,10,258,0,5,322,37,170,278,43,324,212,995,411,119
78747,18544,14846,1052,358,388,0,1341,559,1938,67,824,274,522,0,117,124,10,0,229,503,520,686,91,12,63,185,110,255,234,369,341,232,46,52538,0.3805,169400,0,0,94,476,941,322,36,30,0,39,0,0,298,0,71,265,21,93,110,100,155,114,410,209,0
78748,46679,38478,2202,56,2065,69,1699,2110,6980,720,2818,1507,952,390,299,103,167,24,360,1445,2680,2495,249,166,204,336,322,838,1317,1752,906,804,86,50810,0.36870000000000003,205800,26,61,397,1262,3509,1554,49,23,0,99,0,20,766,12,33,1108,28,531,758,309,1109,334,1036,662,23
78749,36210,30269,1009,153,3119,0,417,1243,5708,352,2451,1195,909,207,248,204,96,46,51,562,1473,3622,94,159,101,86,157,242,910,1445,761,1277,476,70117,0.3573,257400,37,0,189,645,3076,1163,430,89,11,68,0,14,401,0,0,399,0,419,491,323,564,515,1867,626,21
78750,28626,22983,598,9,3529,22,439,1046,3979,354,1089,1060,902,162,257,115,40,0,109,782,1429,1659,227,88,63,232,195,488,649,963,520,394,160,50981,0.4452,322700,0,26,310,912,1872,602,144,12,66,35,0,0,502,0,39,644,30,310,299,232,466,260,805,207,42
78751,14441,12004,200,48,872,0,790,527,5546,1189,2584,879,508,94,221,43,28,0,179,491,1489,3387,543,274,283,378,377,909,761,953,400,400,268,35126,0.5161,322900,9,72,1466,1387,1384,785,253,113,39,38,9,0,1274,10,279,997,123,374,257,323,464,166,762,248,48
78752,20153,12291,2334,194,511,0,4359,464,5728,527,2528,1223,556,216,245,302,75,56,1628,1158,1374,1568,411,364,417,522,510,889,1124,800,372,263,56,31773,0.4509,187400,51,244,1905,1909,1128,246,56,17,45,127,17,61,1486,36,141,1222,124,661,296,489,225,61,530,156,0
78753,55077,33217,6195,245,3307,93,10838,1182,12321,1323,4713,2704,1964,632,464,378,80,63,3215,3342,3852,1912,375,629,1050,1115,1415,2117,2156,2033,801,321,309,32286,0.4429,142700,232,218,3773,3818,3481,645,0,29,0,125,34,134,2745,53,540,2904,193,1267,680,736,1080,196,1244,187,0
